title,description,n_reviews,stars_avg,price_range,extra_features,street,opening_hours,phone_number,reviews,extra_content
Bodegón Mendia,,15000,"4,3",1-10€,,"Elizondo Kalea, 2, 48004 Bilbo, Bizkaia","{'miércoles': ['Cerrado'], 'jueves': ['8:00–23:00'], 'viernes': ['8:00–24:00'], 'sábado': ['9:00–24:00'], 'domingo': ['9:00–23:00'], 'lunes': ['8:00–23:00'], 'martes': ['8:00–23:00']}",,"['Fuimos a desayunar y fue todo un acierto.\nYo tomé una tortilla que estaba muy rica y mi novio un bocatin que le supo a…Más', 'Un buen sitio en la zona de Santutxu para hacer un avituallamiento o desayunar.\nRicos y variados bocatas y un dueño muy entrañable y bue…Más', 'Los mejores pintxos de santutxu, muy buena mezcla de ingredientes entre pan y pan. Si hay un buen partido tampoco se lo pierden.…Más']","['El Bodegón Mendia de Santutxu es uno de los bares con más variedad de pintxos de Bilbao. En el Mendia encontrarás: pintxos tortillas tostas bocatas...', 'El Bodegón Mendia está ubicado en ""La Zona"" de Santutxu en la Calle Elizondo 2 trasera 48001 Bilbao Bizkaia', 'Bodegón Mendia · Página · Bar de tapas y restaurante · +34 944 11 97 98 · bodegonmendia.com.']"
Lezama Cafe Bar,,96,"4,2",1-10€,,"Azurleku Auz., 15, Local 2, 48004 Bilbao, Biscay","{'miércoles': ['Cerrado'], 'jueves': ['8:00–22:00'], 'viernes': ['8:00–22:00'], 'sábado': ['8:00–22:00'], 'domingo': ['8:00–22:00'], 'lunes': ['8:00–22:00'], 'martes': ['8:00–22:00', 'Confirmado por esta empresa hace 2 semanas']}",,"['Excelente servicio 👍 y excelente y exuberante terraza en una ubicación privilegiada de Bilbao-Basarrate.…Más', 'Fuimos a comer unos tequeños con guayaba y unas empanadas,muy buena atención y la comida muy rica.…Más', 'Estaba muy emocionada porque iba a comer un plato típico de mi país (cachapa venezolana con queso de mano) y lo que llego a mi casa fue una burla, una cachapa…Más']","['hace 2 días — En Lezama Cafe Bar sus visitantes pueden comer unas sorprendentes empanadillas unas singulares empanadas y una perfectamente elaborada cachapa...', 'Para pedir Cafe & Bar Lezama a domicilio en Bilbao simplemente abre la página web o aplicación de Glovo y ve a la categoría «Internacional”». A continuación...', 'Lezama Cafe Bar en Bilbao. Azurleku Auz. 15 Local 2  Biscay Bilbao · 946 94 87...']"
Bar Koldo,,6,"4,5",,,"Santutxu Kalea, 37, 48004 Bilbo, Bizkaia","{'miércoles': ['7:00–22:00'], 'jueves': ['7:00–22:00'], 'viernes': ['7:00–22:00'], 'sábado': ['7:00–22:00'], 'domingo': ['7:00–22:00'], 'lunes': ['7:00–22:00'], 'martes': ['7:00–22:00']}",944 11 59 03,[],"['Bar Koldo Llevamos en Santutxu casi 40 años volcados en nuestros clientes. Cafés con crema. Amplia. \U000f1676. Seguir. \U000f07dd. Publicaciones.', ""*Pintxos *Raciones *Cervezas y vinos *Rabas: sábados domingos y festivos *Jueves Pintxopote. Horario J/A's profile picture. Horario J/A. 46 posts"", 'BAR KOLDO Bilbao. 325 Me gusta · 2 personas están hablando de esto · 3 personas han estado aquí. Bar Koldo Llevamos en Santutxu casi 40 años volcados...']"
Bar Vaquero,,217,"4,4",1-20€,,"Lugar Grupo Remigio Gandasegui Monseñoaren, 7, 48006 Bilbao, Biscay","{'miércoles': ['7:00–20:30'], 'jueves': ['7:00–20:30'], 'viernes': ['7:00–22:00'], 'sábado': ['8:00–17:00'], 'domingo': ['Cerrado'], 'lunes': ['7:00–20:30'], 'martes': ['7:00–20:30']}",,"['Fui por primera vez y tomé un café muy rico. Los pintxos tienen muy buena pinta,sin duda volveré a probarlos. Además puedes comer allí.…Más', 'Lugar siempre lleno. Hay mil motivos. Comida rica, variada, los pinchos, los precios ajustados y los menús.…Más', 'Cafetería restaurante favorita del barrio. Buenas tortillas y sándwiches, bolleria también y menú del día casero a buen precio.…Más']","['Consigue las mejores ofertas para Bar Vaquero en Bilbao y conoce la nota y posición en el ranking de GastroRanking.', '5 feb 2024 — Aquí vas a poder saborear unos caseros pintxos un singular pescado y un perfectamente elaborado laing. Su delicioso café te está esperando en...', 'Indicaciones para llegar. Bar VaqueroBilbao PV ES. Bar Vaquero. Bilbao PV ES. Abrir en Waze. 946 85 52 09. Cerrado ahora. Lunes07:00 - 20:30.']"
Bar Bruselas,,139,"3,4",,,"De la Cosa Juan Kalea, 24, 48004 Bilbo, Bizkaia","{'miércoles': ['9:00–22:00'], 'jueves': ['9:00–22:00'], 'viernes': ['9:00–1:00'], 'sábado': ['9:00–1:00'], 'domingo': ['9:00–22:00'], 'lunes': ['9:00–22:00'], 'martes': ['Cerrado', 'Actualizado por esta empresa hace 12 semanas']}",946 96 85 00,"['Un buen sitio para comer, es como si estuvieras en tu casa. Tiene buen ambiente y podrías estar con tus amigos para comer…Más', 'Pésimo pollo, tiene más plumas asado que vivo, reseco y chicloso, las croquetas de jamón ni tan mal ( semicaseras ) las de bakalao no se las doy ni a mí perro,…Más', 'No vayáis a ese local aparte se ser su jefe un asqueroso que escupe en las mesas de trabajo fijaros cuando pone las comandas aparte de fumar y más cosas que…Más']","['Restaurante Bruselas Bilbao. 495 Me gusta · 83 personas han estado aquí. ¡Bienvenidxs al Restaurante polifacético Bilbao Bruselas! Bar Restaurante...', 'Buena comina varios platos en el menu o en la carta personal muy agradable espacioso y los precios no te arruinaran lo mejor es que reserves pero puedes...', 'Restaurante Bruselas Bilbao Spain. 495 likes · 83 were here. ¡Bienvenidxs al Restaurante polifacético Bilbao Bruselas! Bar Restaurante Cervecera y...']"
Kuluxka,,115,"4,0",€,Tiene terraza· Sirve buenos cócteles,"Karmelo Kalea, 5, 48004 Bilbo, Bizkaia","{'miércoles': ['8:30–24:00'], 'jueves': ['8:30–24:00'], 'viernes': ['8:30–24:00'], 'sábado': ['9:30–24:00'], 'domingo': ['9:30–24:00'], 'lunes': ['8:30–24:00'], 'martes': ['8:30–24:00']}",,"['En primer lugar, el trato del camarero hacia nosotros ha sido pésimo, ya que le hemos pedido varias consumiciones entre ellas dos vasos de agua, y su respuesta…Más', 'Estuve con un grupo de amigos y el trato por parte del camarero fue muy desagradable. Cuando fuimos a pedir, ya directamente nos preguntó a ver si el resto de…Más', 'Buenos pintxos y bien ambiente, recomendable, el servicio de 10!…Más']","['Encuentra en Santutxu el Kuluxka un bar fa000iar tradicional donde comer pinchos rabas o tomar copas. ... Zabalbide 39 Bilbao. Restaurantes en Bizkaia. 0.07...', 'Lo más destacado de Bilbao: tour privado o en grupo pequeño de medio día en bicicleta eléctrica. 92. Recomendado. El 96 % de los clientes que escribieron...', 'Kuluxka Bilbao Spain. 234 likes · 35 were here. Caféstés refrescos cervezas vinos y combinados. Pintxos tortillas de patata bocadillos raciones...']"
La Cosa De Juan,,116,"4,5",,Tiene terraza· Sirve buenos cócteles· Hay actuaciones en directo,"De la Cosa Juan Kalea, 7, 48004 Bilbo, Bizkaia","{'miércoles': ['13:00–1:00'], 'jueves': ['13:00–1:00'], 'viernes': ['13:00–3:00'], 'sábado': ['13:00–3:00'], 'domingo': ['13:00–1:00'], 'lunes': ['Cerrado'], 'martes': ['13:00–1:00']}",,"['De momento es el primer día que he estado, muy buen ambiente, y un trato estupendo y cordial. En la comida no pongo nada porque no vi gran cosa seguramente sería por el horario…Más', 'Un buen local si se sabria gestionar cosa que no hacen bien. Un desastre con los horarios de apertura. Abren cuando les apetecen. Una pena.…Más', 'Espectacular, que ambiente más bueno, la música, el personal, la ubicación... sin duda alguna volveré…Más']","['El bar Bilbao se encuentra De la Cosa Juan Kalea 7 48004 Bilbao. La Cosa De Juan Bilbao en el mapa de Schlouk con toda la información: horarios de apertura...', 'Consigue las mejores ofertas para La Cosa De Juan en Bilbao y conoce la nota y posición en el ranking de GastroRanking.', '- 23 de diciembre de 1952. Juan de La Cosa o Lacosa y popularmente conocido como Juan Vizcaíno. Era cartógrafo y piloto del que se piensa que nació en Orduña...']"
Mole Tex Mex,Burritos boles y tacos en un pequeño restaurante con servicio de barra y modernas lámparas.,1000,"4,6",10-20€,,,"{'miércoles': ['20:00–22:45'], 'jueves': ['20:00–22:45'], 'viernes': ['20:00–23:15'], 'sábado': ['13:30–15:45', '20:00–23:15'], 'domingo': ['Cerrado'], 'lunes': ['Cerrado'], 'martes': ['Cerrado']}",,[],"['Restaurante mexicano situado en Santuxu Bilbao. Burritos tacos nachos... Todos nuestros platos con ingredientes 100% frescos.', 'El restaurante Mole Tex Mex está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 4.5; Servicio: 5; Calidad/precio: 4.5...', ""Here for a quick 4 day break but the food was so good here I had to come twice! Second helpings we're needed. It was soo good. Ingredients are ALL fresh..""]"
Café Teatro La Nube,,484,"4,3",1-10€,Sirve buenos cócteles· No se aceptan reservas· Tiene música en directo,"C. Caserío Landaburu, 4, 48004 Bilbao, Biscay","{'miércoles': ['19:00–4:00'], 'jueves': ['19:00–4:00'], 'viernes': ['19:00–5:30'], 'sábado': ['19:00–5:30'], 'domingo': ['19:00–4:30'], 'lunes': ['Cerrado'], 'martes': ['19:00–4:00', 'Actualizado por otras personas hace 6 semanas']}",,[],"['La nube cafe teatro Bilbao. 5540 Me gusta · 81 personas están hablando de esto · 2324 personas han estado aquí. Una larga trayectoria como café teatro...', 'Te puedes tomar una cerveza siempre con buen ambiente y buena música. Suele ofrecer conciertos de grupos locales gratuitos o a precio mas que simbólico.', 'Entradas para todos los eventos en La Nube Café Teatro Bilbao. Disfruta siempre al mejor precio.']"
Baserri Benta,,589,"4,3",1-10€,,"Allende Particular Kalea, 6, 48004 Bilbo, Bizkaia","{'miércoles': ['7:30–24:00'], 'jueves': ['7:30–24:00'], 'viernes': ['7:30–24:00'], 'sábado': ['7:30–24:00'], 'domingo': ['7:30–24:00'], 'lunes': ['7:30–24:00'], 'martes': ['7:30–24:00']}",,"['Fatal!!! La cocinera no es la primera vez que me lo hace, no volveré más. Pido tostadas con jamón y parece que le molesta. El bar vacío,le dice el dueño una…Más', 'Bar con gran variedad de pintxos.\nA nosotros nos encantan muchos de los pintxos que tienen en barra pero tenemos…Más', 'El Baserri solía ser mi lugar favorito para disfrutar de la deliciosa tortilla de ibérico por las mañanas. Sin embargo, he notado algunos cambios que han…Más']","['Baserri Benta le da la bienvenida. El café/bar Baserri Benta se halla en el barrio de Santutxu. Sea cual sea la hora del día en nuestro local siempre podrá...', 'Baserri Benta Bilbao: Consulta 9 opiniones sobre Baserri Benta con puntuación 4 de 5 uno de los 1.195 restaurantes de Bilbao en Tripadvisor.', 'Puedes pedir para llevar | Bilbao - El «Baserri Benta» es un punto de encuentro muy concurrido en el que quedan los amigos para empezar la noche.']"
Bar Azteca,,65,"4,6",,,"Fika Kalea, 50, 48004 Bilbo, Bizkaia","{'miércoles': ['9:00–16:00', '18:00–23:00'], 'jueves': ['9:00–16:00', '18:00–23:00'], 'viernes': ['9:00–16:00', '18:00–23:00'], 'sábado': ['9:00–16:00', '18:00–23:00'], 'domingo': ['Cerrado'], 'lunes': ['9:00–16:00', '18:00–23:00'], 'martes': ['9:00–16:00', '18:00–23:00']}",,"['Fatal la dueña te trata bien o mal cuando a ella le conviene y encima están todo el día en la terraza fumando chiflos…Más', 'Muy buen café, servido por una genial camarera y dueña. Agradable lugar para tomar un pinchito. Si tienes perro no entrarás con el en el bar, pero en la terraza siempre hay…Más', 'Mucha amabilidad por parte de la dueña, es una mujer encantadora. Desde hace mucho tiempo voy a diario. Es un lugar exquisito. Buenos pinchos.']","['4 ene 2024 — Bar Azteca n.º 646 entre los pubs y bares de Bilbao: 65 opiniones y 7 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'Fika Kalea 50  Biscay Bilbao · 944 33 81 11. Las mejores Terrazas. 92. Basado en 65 opiniones encontradas en 1 webs...', '5 may 2023 — Ver Bar Azteca en Bilbao Calle Fika 50 en Cylex y encuentre ☎ 944 33 81... datos de contacto ⌚ horario de apertura.']"
Bar Boto La Zona Santutxu,,130,"4,7",1-10€,,"Arsuaga Kalea, 2, 48004 Bilbo, Bizkaia","{'miércoles': ['10:00–22:00'], 'jueves': ['10:00–22:00'], 'viernes': ['10:00–23:00'], 'sábado': ['11:00–23:00'], 'domingo': ['11:00–23:00'], 'lunes': ['10:00–22:00'], 'martes': ['10:00–22:00']}",,"['La comida es estupenda y el trato por parte del personal inmejorable\nIr alli siempre es un acierto, ambiente agradable', 'El mejor bar de santutxu para tomarse un destorni. Eider y Gari los mejores poniendolos.…Más', 'Buen ambiente, barra de pinchos con variedad justa pero calidad excelente, trato familiar, moderno y bien ubicado. Recomendable…Más']","['9 feb 2024 — Este bar está orgulloso de sus bien trabajados pintxos y su casero laing. Según las opiniones de los usuarios aquí los camareros ofrecen...', '11 may 2020 — Lectores recomiendan este bar del barrio bilbaíno de Santutxu Arsuaga 2', ""26 ago 2017 — 'SANTUTXU KOLOREA'. Sep 18 2020 · 2.7K views. 00:58. El botellón de 'La Zona' en el ... No photo description available. Bilbao Udala -...""]"
Taberna Iberica,,74,"4,4",1-10€,Tiene terraza· Se sirve comida en el bar,"Iturriaga K., 92, 48004 Bilbo, Bizkaia","{'miércoles': ['9:00–23:00'], 'jueves': ['9:00–23:00'], 'viernes': ['9:00–23:00'], 'sábado': ['9:00–23:00'], 'domingo': ['10:30–22:30'], 'lunes': ['9:00–23:00'], 'martes': ['9:00–23:00']}",,"['Buen sitio de desayuno para madrugadores o trasnochadores. Siempre cumple con una barra bastante completa sea la hora que sea de pinchos preparados para gustar…Más', 'Muy bien sitio para desayunar antes de ir a trabajar ya q abren pronto y muy buenos pintxos', 'Como siempre, un placer visitar este lugar, muy recomendable.…Más']","['Taberna Ibérica Bilbao. 79 Me gusta · 3 personas han estado aquí. variedad de pintxos y productos ibéricos.', 'Consigue las mejores ofertas para Taberna Iberica en Bilbao y conoce la nota y posición en el ranking de GastroRanking.', '13 feb 2024 — Taberna Iberica n.º 1012 entre los restaurantes de Bilbao: 72 opiniones y 26 fotos detalladas. Localízalo en el mapa y llama para reservar...']"
Bar Santutxu,,266,"4,3",€,,"Santutxu Kalea, 15, 48004 Bilbo, Bizkaia","{'miércoles': ['6:00–22:30'], 'jueves': ['6:00–22:30'], 'viernes': ['5:00–23:00'], 'sábado': ['5:00–23:00'], 'domingo': ['Cerrado'], 'lunes': ['6:00–22:30'], 'martes': ['6:00–22:30']}",944 33 11 14,"['Espectacular barra de pinchos y tartas pero sobre todo destaco que tiene rooibos expreso, una infusión que la preparan como un café, en la cafetera, y que se…Más', 'Ojalá pudiera darles 10 estrellas. La calidad de atención es buena, amables, atentos y con comida variada, siempre paro a tomarme un cortado muy rico, potente…Más', 'Pintxos de muy buena calidad, camarero super amable y cafe muy rico. Suelo ir habitualmente los viernes. Me encanta el pintxo de tortilla de setas ❤️']","['Bar con estilo propio. Disfruta de la fusión de los mejores productos Euskaldunes con el toque especial de la gastronomía Andaluza.', 'Bar restaurante Santutxu 15 · Puntuaciones y opiniones · Detalles · Ubicación y contacto. Calle Santutxu 15 Local 48004 Bilbao España.', 'Bar Santutxu Bilbao. 1444 Me gusta · 1 personas están hablando de esto · 35 personas han estado aquí. Una de las mejores barras de pintxos de Bilbao....']"
El árbol,Productos de marca propias y de siempre en supermercados de proximidad con perfumería y envío a domicilio.,39,"3,9",,,"Arambarri Músico Kalea, 1, 48004 Bilbo, Bizkaia",{},,"['Estuvimos cuatro amigas muy agusto, la verdad que comimos muy bien. El servicio muy bueno, el comedor de arriba estaba lleno con un grupo grande y lo…Más', 'Bar restaurante donde poder tomar algo, degustar sus pintxos, comer el menú del día, menú txuleton...…Más', 'Celebramos la nochevieja mi familia y yo en este local y fue una muy buena experiencia. Buena cena, buen trato, buen ambiente. Todo perfecto, muy amables con nosotros y muy atentos.…Más']","['Horario de apertura · Lunes - Viernes · Sábado · Domingo. Estamos cerrados. Horario de cocina...', 'Restaurante el arbol Bilbao. 1749 Me gusta · 2 personas están hablando de esto · 170 personas han estado aquí. Bar.', '16 oct 2023 — Ismael y Bárbara se suman con las sugerencias de El Árbol que abarcan desde desayunos y pintxos hasta distintos menús y una completa carta...']"
Bar Zabalbide,,263,"3,9",1-10€,,"Zabalbide Kalea, 53bis, 48006 Bilbo, Bizkaia",{},,"['Qué tortillas más buenaaaas!! De las mejores que hemos probado. La variedad de pintxos está muy bien y la atención muy amable…Más', 'Estoy de vacaciones en bilbao y quede encantado con este bar bajo todos los dias a desayunar ya que mi hotel esta cerca y tiene buenisima calidad de tortillas etc…. Lo recomiendo mu…Más', 'Vengo a este sitio porque empecé a trabajar cerca,cada día paso a desayunar y cuando salgo ..mi cervecita y alguna vez mi pintxo.…Más']","['Un bar con encanto en pleno corazón de Bilbao. Comida inmejorable y un trato exquisito por parte de los camareros .parada obligatoria cuando se está en Bilbao .', 'Consigue las mejores ofertas para Bar Zabalbide en Bilbao y conoce la nota y posición en el ranking de GastroRanking.', 'La verdad es que la comida y la atención es magnifica hay que reconocer que tienen una calidad precio estupenda más para venir en fa000ia son muy atentos. El...']"
Meson Beneitez,,100,"4,5",1-10€,,"Zabalbide Kalea, 62, 48006 Bilbo, Bizkaia","{'miércoles': ['9:00–22:00'], 'jueves': ['9:00–22:00'], 'viernes': ['9:00–22:00'], 'sábado': ['9:00–24:00'], 'domingo': ['10:30–22:30'], 'lunes': ['9:00–22:00'], 'martes': ['9:00–22:00']}",,"['Buen bar tomarse una cerveza a gusto…Más', 'Es un bar muy agradable en Santutxu. Se recibe un trato muy bueno y tiene buenos precios. Dispone de una amplia zona con mesas corridas ideal para grupos grandes. Tiene un futbol…Más', 'Lugar ideal para estar en familia. El dueño te da todas las facilidades del mundo si quieres realizar algún evento, cumple, merienda, etc... Gente muy amable y sobretodo es u…Más']","['13 feb 2024 — Meson Beneitez n.º 515 entre los cafés de Bilbao: 100 opiniones y 8 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'Ofrecemos las más avanzadas técnicas las herramientas y el personal más cualificado. En nuestra empresa procuramos superarnos en cada servicio.', 'Meson Beneitez Bilbao Spain. 11 likes · 35 were here. Local business.']"
El Pintxito Santutxu,,98,"4,3",1-10€,,"Arsuaga Kalea, 2, 48004 Bilbo, Bizkaia","{'miércoles': ['10:00–23:00'], 'jueves': ['10:00–23:00'], 'viernes': ['10:00–24:00'], 'sábado': ['10:00–24:00'], 'domingo': ['10:00–23:00'], 'lunes': ['10:00–23:00'], 'martes': ['10:00–23:00']}",,"['Hace tiempo no probaba un buen pincho moruno y el que nos dieron en este establecimiento estaba muy bueno, sabor, textura y sazón estaba para chuparse los…Más', 'Hemos estado hoy (05-03-24) y hemos presenciado un espectaculo bochornoso. Una clienta que decia ser amiga del dueño, se ha puesto a gritar e insultar al…Más', 'Buena atención, servicio muy rápido, buen ambiente y tapas muy ricas, especialmente los pinchos morunos.…Más']","['1 dic 2023 — El Pintxito Santutxu · Puntuaciones y opiniones · Detalles · Ubicación y contacto. Calle Particular De Arzuaga 2 48004 Bilbao España.', 'Bar El Pintxito Bilbao. 50 likes. Pintxos morunosbrochetas de pulpo ... Primer aniversario del Pintxito Santutxu os esperamos para compartirlo con vosotros.', 'Visita obligada para comer uno de los mejores pinchos morunos que he probado nunca. Además el servicio muy agradable. Fecha de la visita: junio de 2023.']"
Las Torres jamoneria,,64,"3,9",1-10€,,"Santutxu Kalea, 22, 48004 Bilbo, Bizkaia","{'miércoles': ['9:00–24:00'], 'jueves': ['9:00–24:00'], 'viernes': ['9:00–24:00'], 'sábado': ['9:00–24:00'], 'domingo': ['9:00–24:00'], 'lunes': ['9:00–24:00'], 'martes': ['9:00–24:00']}",,"['Tienen buenos pintxos, la verdad sea dicha, pero el servicio deja mucho que desear, y lo que es imperdonable, en 3 domingos 2 de ellos las rabas con sabor a…Más', '1,80 tirado a la basura. Me habían hablado de las tortillas de aquí y toda una decepción. Seca muy seca.. Y salada! Desde luego que la tortilla no la recomiendo.', 'Esta reseña es referente a las camareras. El servicio qe dan da asko, las vueltas te las devuelven tirando el dinero. No tienen el caracter para estar detras de…Más']","['No esperes para reservar tu mesa y disfrutar del mejor sabor de nuestra auténtica comida casera. 946 35 53 29 Calle Santutxu 20 48004 Bilbao #...', '6 feb 2024 — Las Torres jamoneria n.º 109 entre las cafeterías de Bilbao: 64 opiniones y 30 fotos detalladas. Localízalo en el mapa y llama para...', 'Jamonería Vinos Tapas / Raciones Santutxu Bilbao.']"
Bar Restaurante Zurich,Hamburguesas pinchos y cocina variada en local de estilo retro con mesas de mármol y lámparas industriales.,361,"4,3",10-20€,,"Losada Pintor Kalea, 26, 48004 Bilbo, Bizkaia","{'miércoles': ['8:00–23:00'], 'jueves': ['8:00–23:00'], 'viernes': ['8:00–24:00'], 'sábado': ['9:00–24:00'], 'domingo': ['9:00–23:00'], 'lunes': ['Cerrado'], 'martes': ['8:00–23:00']}",,[],"['Un restaurante tranquilo español con platos caseros en una bonita zona. Nuestra cocina española te sorprenderá con platos auténticos. Degusta nuestra cocina...', 'Ubicación y contacto. Losada Pintor Kalea 26 48004 Bilbao España. A...', 'Puedes pedir para llevar | Bilbao · Un restaurante tranquilo español con platos caseros en una bonita zona · Déjanos ayudarte en tu evento privado.']"
Jai Alai Santutxu,,62,"4,6",10-20€,,"De la Cosa Juan Kalea, 20, 48004 Bilbo, Bizkaia","{'miércoles': ['12:00–23:00'], 'jueves': ['12:00–23:00'], 'viernes': ['12:00–22:30'], 'sábado': ['12:00–23:00'], 'domingo': ['12:00–23:00'], 'lunes': ['12:00–22:30'], 'martes': ['12:00–23:00']}",,"['En mi opinión tienen el mejor café de todo Santutxu…Más', 'Bar con encanto , cerca del metro ,buenos desayunos y copas , tienen variedad de pintxos la tortilla de patata una delicia . La pareja que lo regenta son profesionales de la hosteler…Más', 'Un buen bar de potro,gente majísima y muy buena atención']","['Rabba Rabba Hey en el Jai Alai de Santutxu. Las fiestas que dan nueva vida a bares castizos de barrio de Bilbao. Martes 20 de junio 2023 13...', '21 jun 2023 — Bares como el Chíviri o el Jai Alai del barrio bilbaíno de Santutxu tienen una clientela habitual y tremendamente fiel pero no los vamos a...', 'Gastro-Bar de cocina en miniatura cocina vasca y americana minimalista en alta cocina fusión de sabores texturas oloresetc. Con su carta tradicional.']"
ZARATA,,76,"4,3",€,,"Karmelo Kalea, 5 bis, local 8, 48004 Bilbo, Bizkaia","{'miércoles': ['11:00–24:00'], 'jueves': ['11:00–24:00'], 'viernes': ['11:00–24:00'], 'sábado': ['11:00–24:00'], 'domingo': ['11:00–24:00'], 'lunes': ['11:00–24:00'], 'martes': ['11:00–24:00']}",,[],"['Bilbao Bizkaia. Cómo Llegar. Contactos. 944 41 65 21. reservasrestaurantezarate@gmail.com. Horario. Comidas Martes a Domingo: 13:30 - 16:00. Cenas Viernes y...', 'Zarata Bilbao Spain. 97 likes. El rinconcito de Santutxu donde poder disfrutar de la mejor música en directo degustar uno de nuestros pintxos o la...', 'El rincón gastro-musical de Santutxu C/Karmelo 5 bis bajo 12 bajo las galerias Coctelería sabores del mundo y musica en directo. 41 posts']"
Astuy Taberna,,552,"4,1",€,,"De la Cosa Juan Kalea, 8, 48004 Bilbo, Bizkaia","{'miércoles': ['13:00–16:00', '19:00–23:00'], 'jueves': ['13:00–16:00', '19:00–23:00'], 'viernes': ['13:00–16:00', '19:00–24:00'], 'sábado': ['13:00–16:00', '19:00–24:00'], 'domingo': ['13:00–16:00', '19:00–23:00'], 'lunes': ['13:00–16:00', '19:00–23:00'], 'martes': ['13:00–16:00', '19:00–23:00']}",,"['Vergonzoso, conozco el restaurante desde hace años , los precios han subido una barbaridad y pagar 2,30 por una Iata de Coca Cola me parece un insulto, una…Más', 'Excelentes hamburguesas recomendable al 100 por 100 las patatas deliciosas la atención es de primera para repetir una y mil veces', 'Soy clienta habitual pero ayer la gestión fue pésima. Hice un pedido a las 21:15 de la noche, después de uns hora llamo y me dicen que el pedido había salido…Más']","['Disfruta de Taberna Astuy donde y cuando quieras de manera rápida sencilla y segura. Pide ahora online y olvídate de cocinar.', 'Astuy Taberna · Juan de la Cosa 8 Calle De Juan De La Cosa 8 48004 Bilbao España · Página web · Mejora este perfil.', 'Calle de Juan de la Cosa 8 Bilbao 48004. Entrega desde 19:35. Quiero recogida. 250 € gastos de envío. 14 € pedido min. Info. alérgenos...']"
Bar Asador Gozo Gozo,,850,"4,2",10-20€,,"Zabalbide Kalea, 39, Ibaiondo, 48006 Bilbo, Bizkaia","{'miércoles': ['11:00–16:30'], 'jueves': ['11:00–16:30'], 'viernes': ['11:00–16:30'], 'sábado': ['11:30–17:00'], 'domingo': ['11:30–17:00'], 'lunes': ['11:00–16:30'], 'martes': ['11:00–16:30', 'Actualizado por esta empresa hace 8 semanas']}",944 33 42 62,"['Sirven rápido y bien, excelente la comida,.me han encantado las croquetas. Los postres son también caseros. Hemos pedido un menú txuleton y un dúo para tres.…Más', 'Muy buena en general, siempre tienen bastante gente por la relación calidad/precio.…Más', 'El servicio es bueno y la comida esta rica aunque un poco caro para lo que es. El mayor fallo es la poca ventilación del restaurante, cuando sacaban las…Más']","['Asador Gozo Gozo · Menú del Día · Menús Especiales · Carta · Take Away · Galería · Contacto ... 48006 - Bilbao. 944 33 42 62. HORARIO. Lun - Jueves: 10:00 - 23:00.', 'Muy bueno todo eso es lo que deberíamos buscar en un restaurante. Buen servicio buena calidad y buen precio. Para resaltar la espectacular ensalada de...', 'Asador Gozo Gozo · Menú del Día · Menús Especiales · Carta · Take Away · Galería · Contacto ... 48006 - Bilbao. 944 33 42 62. HORARIO. Lun - Jueves: 10:00 - 23:00.']"
Santutxu Bai Batzokia,,429,"4,1",10-20€,,"De Azkue Resurreccion Maria Kalea, S/N, 48004 Bilbo, Bizkaia","{'miércoles': ['10:00–20:00'], 'jueves': ['10:00–20:00'], 'viernes': ['10:00–21:00'], 'sábado': ['11:30–18:00'], 'domingo': ['11:30–17:00'], 'lunes': ['Cerrado'], 'martes': ['10:00–20:00']}",,"['Nos habían hablado muy bien pero nuestra experiencia ha sido pésima. Habíamos reservado hace 15 días, avisados de que éramos 5 + un carrito de bebé. Incluso les…Más', 'Se come super bien, muy rico y buena cantidad, la atención es genial. Los camareros majos y divertidos. Justo cuando hemos ido han tenido algún que otro…Más', 'Servicio muy lento. Tardaban media hora de plato a plato. No tenían pan. Lo iban cociendo según se lo pedías y t lo daban con cuentagotas. Les sentaba mal…Más']","['Km Santutxu. Ongi Etorri. Bai. Batzokia. Comida tradicional vasca con aportes modernos y de calidad. No queremos que comas como en casa.', 'El restaurante Santutxu Bai Batzokia está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3.5; Servicio: 4; Calidad/precio:...', 'Santutxu Bai Batzokia · Calle Resurrección Mª de Azkue s/n 48004 Bilbao España · Página web · Mejorar este perfil.']"
