title,description,n_reviews,stars_avg,price_range,facilities,street,opening_hours,phone_number,featured_reviews,extra_content
Bar El Rincón de Arantza,,20,"4,6",1-10€,Tiene terraza· Se sirve comida en el bar,"Blas de Otero Kalea, 59, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['7:30–23:00'], 'sábado': ['8:30–23:00'], 'domingo': ['8:30–16:00'], 'lunes': ['7:30–22:00'], 'martes': ['7:30–22:00'], 'miércoles': ['7:30–22:00'], 'jueves': ['7:30–22:00']}",,"['El café está bueno el sitio tranquilo buen ambiente y los pintos también están buenos. Y los camareros muy amables…Más', 'es un bar que conozco de toda la vida y de verdad este chico Pedro es una persona que da gusto estar con el pedro gracias por ser como eres igual que yo kojonudo.…Más', 'Un bar muy bonito de diseño, con muy buena selección de vermú, y un camarero Pedro supersimpatico. Un descubrimiento…Más']","['Bar El Rincon de Los Chistes. Bar. €€€€. 7.4Calle Marques De Laurencin S/n ... cafe arantza bilbao photos •; cafe arantza bilbao location •; cafe arantza...', '15 feb 2024 — Cafe Arantza n.º 29 entre los cafés de Bilbao: 148 opiniones y 37 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'Un lugar agradable donde todos son bienvenidos para poder disfrutar de un buen vino  o un delicioso café acompañado de nuestros saborosos pintxos .']"
BAR BIOK DEUSTO,,137,"4,6",1-10€,Tiene terraza· Sirve buenos cócteles· Se sirve comida en el bar,"Ibarrekolandabidea, 17, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['6:00–17:00'], 'sábado': ['Cerrado'], 'domingo': ['Cerrado'], 'lunes': ['6:00–17:00'], 'martes': ['6:00–17:00'], 'miércoles': ['6:00–17:00'], 'jueves': ['6:00–17:00']}",648 60 62 01,"['Buen bar para desayunar, buenos pintxos y tostadas y café además del trato estupendo recibido. Estaría bien que en la zona da arriba hubiese un poco más de luz.…Más', 'Se da la casualidad de que hoy había quedado con un amigo en el bar Biok en Deusto, y casualmente sigo en redes a @aitanaful que ayer nos mostró el bar en una…Más', 'Los pinchos deliciosos (tortillas de muchos tipos, tostas, bocadillos jamón, sándwiches...), el café cojonudo y el dueño muy majo y simpático. Ambiente de…Más']","['92 posts; 666 followers; 2645 following. BIO K @biokdeusto ☕️: Capuchino #bilbao #deustu #deusto #sarriko. Photo by BIOK DEUSTO on April 20 2023.', '7 feb 2024 — Sus clientes pueden tomar unas sorprendentes tortitas de pan unas caseras tortillas y unos perfectamente elaborados pintxos en este bar.', 'La carta actualizada de BAR BIOK DEUSTO. Precios y opiniones de los clientes sobre sus platos.']"
Restaurante Pulpería Naroa,,825,"4,3",20-30€,,"Julio Urquijo Kalea, 8, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['9:00–23:00'], 'sábado': ['9:00–23:00'], 'domingo': ['Cerrado'], 'lunes': ['9:00–22:00'], 'martes': ['9:00–22:00'], 'miércoles': ['9:00–22:00'], 'jueves': ['9:00–22:00']}",944 47 35 76,"['Restaurante muy sencillo y básico. El pulpo es su plato estrella pero en nuestro caso bastante soso y los cachelos son gota de sal. Esperemos haya sido puntual.', 'Pedimos dos menús para dos personas a compartir entre 4 para probar un poco de todo. El pulpo estupendo al igual que los cachelos.…Más', 'Genial. Hacia tiempo q no venía pero como siempre.... cantidad, precio......me encanta! El pulpo inmejorable. La cenina muy bien presentada Y el churrasco de diez']","['El trato es muy amable la comida casera y muy rica. El pulpo es fantástico y las raciones de buen tamaño. Los menús son de una calidad-precio estupenda.', '30 oct 2021 — Naroa Bilbao · Dirección Julio Urquijo 8 · Teléfono 944473576 · Precios Mejillones en salsa brava: 8 €. Zamburiñas: 2 €/ud. Ración mediana de...', '8 jul 2023 — El trato es muy amable la comida casera y muy rica. El pulpo es fantástico y las raciones de buen tamaño. Los menús son de una calidad-precio...']"
Bar Navarro,,50,"4,3",,,"Txakolin Kalea, 4, Deusto, 48015 Bilbo, Bizkaia","{'viernes': ['7:30–22:00'], 'sábado': ['8:30–1:00'], 'domingo': ['8:30–22:00'], 'lunes': ['Cerrado'], 'martes': ['7:30–22:00'], 'miércoles': ['7:30–22:00'], 'jueves': ['7:30–22:00']}",617 54 75 51,"['Bar de barrio , trankilo es como estar en casa y sea la hora q sea si tienes hambre te hacen comida como la ama…Más', 'Otro local de ambiente Nicaraguense; donde su clientela es de habla española hay mezcladas personas del mundo latinoamericano; nadie es extraño y todo el mundo…Más', 'El bar Navarro es ideal para conocer gente de otra cultura diferente; es chiquito igual que un hogar asi su trato es familiar puedes comer y comida para llevar;…Más']","['Bar Navarro en Bilbao. Txakolin Kalea 4  Biscay Bilbao · 617 54 75 51.', '10 ene 2024 — Bar Navarro n.º 339 entre los pubs y bares de Bilbao: 50 opiniones y 15 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.', 'Bar Navarro arrios Ibarrekolanda Deusto: fotos ubicación y datos de contacto horario y ✉ 17 opiniones de visitantes en Nicelocal.es.']"
Txiki Bar,,22,"3,2",€,,,{},944 00 08 49,[],[]
Restaurante Gu gallastegui,,142,"4,3",€€,Tiene terraza· Tiene Wi-Fi· Sillas altas disponibles,"Ramón y Cajal Etorb., 4, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['8:00–24:00'], 'sábado': ['10:00–24:00'], 'domingo': ['10:00–17:00'], 'lunes': ['8:00–17:00'], 'martes': ['8:00–17:00'], 'miércoles': ['8:00–18:00'], 'jueves': ['8:00–18:00']}",946 61 22 87,"['Excelente. Buena cocina, las chicas de la barra maravillosas. Terraza.\nMuy recomendable. Para tomar algo o para comer o picote…Más', 'Estupendo restaurante para comer de menú o saborear unos pintxos. Estupenda decoración, buen ambiente y maravilloso trato del personal. Visita recomendable…Más', 'Excelente. Buena cocina, las chicas de la barra maravillosas. Terraza. Muy recomendable. Para tomar algo o para comer o picoteo o cenar']","['Somos la nueva gerencia del Gu gallastegui desde hace 1 año y medio. Ruego cambien la información. El teléfono que aparece en esta página es errónea.', '5 jun 2023 — Información útil · 1. Dirección: Travesía Ramón y Cajal 2 Deusto. · 2. Teléfono: 946612287. · 3. Cierra: Domingo lunes y martes por la tarde...', 'Consigue las mejores ofertas para Gallastegi en Bilbao y conoce la nota y posición en el ranking de GastroRanking. ... Somos la nueva gerencia del Gu gallastegui...']"
Bar Ikatz,,444,"4,4",1-10€,Sirve buenos cócteles· No se aceptan reservas· Se sirve comida en el bar,"Madariaga Etorbidea, 19, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['6:30–24:00'], 'sábado': ['9:30–24:00'], 'domingo': ['11:30–15:30'], 'lunes': ['Abierto 24 horas'], 'martes': ['6:30–24:00'], 'miércoles': ['6:30–24:00'], 'jueves': ['6:30–24:00']}",663 93 21 90,"['Un bar donde se ve bastante tráfico de personas a ciertas horas del día. Se nota que ha cambiado de dueño.…Más', 'Después de toparnos con un lugar donde nos faltaron al respeto, encontramos este sitio donde nos trataron como en casa. Simpatía y amabilidad de las que haces que te qued…Más', 'A la mañana y mediodía los pinchos y tortillas están estupendos. Tienen un jamón muy bueno…Más']","['Las raciones están riquísimas y el katxopo espectacular.El ambiente es súper bueno y para mi uno de los mejores bares de deusto.', 'Bar Ikatz · Página · Bar · +34 689 58 70 72 · instagram.com/bar_ikatz.', '3 feb 2024 — Ikatz taberna n.º 730 entre los pubs y bares de Bilbao: 481 opiniones y 48 fotos detalladas. Localízalo en el mapa y llama para reservar...']"
Black Bar Bilbao,,22,"4,5",,Tiene terraza,"Errondoko Kalea, 2, Deusto, 48015 Bilbo, Bizkaia",{},635 23 60 46,"['La dueña sabe de coctaiks y de poner pintxos bien ricos. Su nueva adquisición, Wendy, es una camarera ideal, y el ambiente es muy acogedor…Más', 'Este bar me encanta,…Más', 'Me la pasó super con la música que allí se pone, las bebidas bien y los horarios de lujo pues es donde puedes ir para finalizar la noche👍😎🤩']","['A partir del 16 de octubre Black Bar Bilbao ofrece las comidas georgianas : Khachapuri Khachapuri Oro Kababi Berenjenas con nuez', 'Black Bar Bilbao Stones · Black Bar Bilbao Stones · Bares-Cafeterías · Avda. Madariaga 14 · También te pueden interesar · Todos los bares-cafeterías que...', 'A partir del 16 de octubre Black Bar Bilbao ofrece las comidas georgianas : Khachapuri Khachapuri Oro Kababi Berenjenas con nuez']"
Restaurante Batzoki de Deusto,,749,"4,3",10-20€,Tiene terraza· Sirve buenos cócteles· Ideal para ver deportes,"Heliodoro de la Torre Kalea, 5, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['10:00–23:00'], 'sábado': ['10:00–23:00'], 'domingo': ['10:00–23:00'], 'lunes': ['10:00–23:00'], 'martes': ['10:00–23:00'], 'miércoles': ['10:00–23:00'], 'jueves': ['10:00–23:00']}",944 05 06 58,"['Me parece que la camarera es muy fresca y atrevida con los comensales. Ella está a la caza de buscar hombre. Y no respeta que vayan acompañados. Yo también soy…Más', 'Sorpresa por lo bien que hemos comido hoy. Muy recomendable. Reservar mesa pq se ha llenado. El trato de las camareras buenísimo…Más', 'Fuimos 21 amigos con 3 tipos de menú diferentes.La comida muy rica. Calidad precio estupenda. Lo mejor la amabilidad y facilidades que nos dieron para hacer algún cambio de últ…Más']","['BATZOKI DE DEUSTO. Local muy agradable con abundantes y variados platos y con ... 48014 Bilbao Bizkaia. info@batzokideusto.com. Lun - Jueves: 10:00 - 22:30. Vie...', '@batzoki_de_deusto . . C/ Heliodoro de la Torre 5 48014 Bilbao Bizkaia . Comida tradicional . Recomendamos la merluza', '@batzoki_de_deusto . . C/ Heliodoro de la Torre 5 48014 Bilbao Bizkaia . Comida tradicional . Recomendamos la merluza']"
Pub Irish Stones,,596,"4,3",1-10€,Tiene terraza· Tiene música en directo· Se sirve comida en el bar,"Madariaga Etorbidea, 2, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['15:00–2:00'], 'sábado': ['16:00–2:00'], 'domingo': ['12:00–24:00'], 'lunes': ['Cerrado'], 'martes': ['15:00–24:00'], 'miércoles': ['15:00–24:00'], 'jueves': ['15:00–24:00']}",,"['Hola somos Acción directa un grupo punk de Tolosa y era para ofrecernos para conciertos y festivales, gracias.', 'Un lugar muy agradable para tomar una copa, un buen vino, unas rabas, etc.. con buena música de fondo 🎶🎶…Más', 'Pub estilo irlandés con buen ambiente, buenas cervezas y buena música (frecuentes conciertos en vivo). Gildas y tortillas excelentes.…Más']","['Irish Stones Bilbao. 454 Me gusta · 49 personas están hablando de esto · 6 personas han estado aquí. Pub irlandés desde 1985.', 'Avda. de Madariaga 2 frente Nº9. Bilbao. Vizcaya. 48014. 944475099. ¡Quedamos aquí! Comparte nuestra localización con tus amigos y queda con ellos para...', ""'Cerrar los ojos'. Pub irlandés. Irish Stones. Irish Stones en Bilbao. Bilbao. Lugar. Madariaga2 . 944475099. PRECIO CERVEZA:250. EVENTOS EN ESTE LUGAR...""]"
Bar Bolivar,,245,"4,6",1-10€,No se aceptan reservas· Ideal para ver deportes,"Rafaela Ybarra Kalea, 27, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['8:00–23:00'], 'sábado': ['11:30–23:00'], 'domingo': ['11:30–16:00'], 'lunes': ['Cerrado'], 'martes': ['8:00–23:00'], 'miércoles': ['8:00–23:00'], 'jueves': ['8:00–23:00']}",946 11 33 20,"['Un bar agradable donde comer buenos pintxos. Recomiendo especialmente el de tortilla con cecina.…Más', 'Bar de barrio con trato amable y cercano.…Más', 'Un bar mágico. El sitio donde siempre sales mejor que cuando entraste. Miriam y Ainhoa son maravillosas. Un regalo para Deustu.…Más']","['BAR BOLIVAR - Bar de vinos y pintxos - De Deusto de toda la vida. ... Bar Bolivar • Rafaela Ybarra 27 • 48014 • Deusto Bilbao. Sitio web...', 'Más de medio siglo contigo. Pintxos y vinos con mucha historia. Entra en el Bar Bolibar y descubre un establecimiento con encanto y mucha historia.', '20 feb 2024 — Es estupendo poder saborear la cocina española. Muchos comensales vienen a degustar su casero laing sus generosos pintxos o sus singulares...']"
MALDITAS DEUSTO ® antes El Buho Rojo | Hamburgueseria Bilbao,Hamburguesas de especialidad nachos caseros y cervezas en un restaurante pequeño y tradicional.,32000,"4,4",10-20€,Se sirven platos vegetarianos,"Blas de Otero Kalea, 23, Deusto, 48014 Bilbo, Bizkaia",{},,"['El local es espacioso y cuenta con una buena ambientación, a pesar de ello las mesas son bastante pequeñas y cutres al igual que las sillas, esa parte es muy…Más', 'Un imprescindible de Bilbao.\nCarne de muy buena calidad, con muy buen sabor y en el punto perfecto,…Más', 'El local es espacioso pero la mesas son pequeñitas y las sillas muy corrientes.…Más']","['c/ Blas de Otero 23 Deusto Bilbao. HACER RESERVA. c/ Luis Luciano Bonaparte ... LOCALES. MALDITAS · ARLECCHINO. El Buho Rojo ® Todos los derechos Reservados...', 'C/ Blas de Otero  23. 48014 Deusto - Bilbao. Ver en Google Maps →. Bonaparte Luis Luciano Kalea 11 48004 Santutxu - Bilbao. Ver en Google Maps →.', '13K Followers 909 Following 343 Posts - See Instagram photos and videos from MALDITAS® @elbuhorojooficial']"
Boticceli Berria,,160,"4,4",10-20€,Solo se acepta efectivo· Tiene terraza· Sirve buenos cócteles,"Heliodoro de la Torre Kalea, 7, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['10:00–24:00'], 'sábado': ['11:00–24:00'], 'domingo': ['11:00–23:00'], 'lunes': ['Cerrado'], 'martes': ['10:00–23:00'], 'miércoles': ['10:00–23:00'], 'jueves': ['10:00–23:00', 'Actualizado por esta empresa hace 2 semanas']}",688 76 31 54,"['Grandísimo descubrimiento. Local abierto hace poco más de 5 meses que, por lo que vimos ayer, mantiene las ganas y el buen hacer del primer día.…Más', 'Para empezar de entrantes, los nachos espectaculares con fusión de sabores originales y las carrilleras como pulled pero evolucionado.…Más', 'No estuvo mal del todo, la hamburguesa barvaca para mi gusto estaba muy rica y la torrija. La hamburguesa hot chicken tampoco fue para tirar cohetes, y la tarta…Más']","['Heliodoro de la Torre Kalea 7 Bilbo 48014. Entrega desde M 13:35. Quiero recogida. 149-299 € gastos de envío. Gastos de envío. Sin pedido mínimo.', 'Echa un vistazo al menú completo de Botticelli Berria en Bilbo en el 48014 y haz tu pedido. Amplia la selección de comida Hamburguesas y recibe el pedido en...', 'Boticheli Berria ⭐ Coctel Burger B.A.R. Deusto Heliodoro de la torre N°7. callejero.club/bilbao/calle-heliodoro-de-la-torre-numero-7.']"
Uria Bar,,324,"4,2",10-20€,Tiene terraza· Ideal para ver deportes· Hay menú infantil,"Arturo Campión Kalea, 20, Deusto, 48015 Bilbo, Bizkaia","{'viernes': ['7:00–24:00'], 'sábado': ['8:00–24:00'], 'domingo': ['8:00–23:00'], 'lunes': ['7:00–22:30'], 'martes': ['7:00–22:30'], 'miércoles': ['7:00–22:30'], 'jueves': ['7:00–22:30', 'Actualizado por esta empresa hace 7 semanas']}",944 75 90 84,"['El ambiente es animado y acogedor, el personal es amable y eficiente. Es un lugar perfecto para pasar momentos inolvidables con amigos.…Más', 'Un buen sitio para comer. Especialistas en hamburguesas, platos combinados, sándwiches y raciones. El dueño muy atento. Comida de alta calidad.…Más', 'Muy buen ambiente y comida buena. El servicio deja mucho que desear, el camarero desganado y nos sacaron platos que no habíamos pedido.…Más']","['Translated by Google A good place to eat. Specialists in burgers mixed plates sandwiches and portions. The owner very attentive. High quality food. ...', 'En tres palabras: Seriedad servicial y honradez. Contacto. Arturo Campion 20 Bilbao. 944759084.', 'Un buen sitio para comer. Especialistas en hamburguesas platos combinados sándwiches y raciones. El dueño muy atento. Comida de alta calidad.']"
Otero 49,,144,"3,9",€,Tiene terraza· Se sirve comida en el bar,"Blas de Otero Kalea, 49, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['8:30–23:00'], 'sábado': ['8:30–23:00'], 'domingo': ['8:30–23:00'], 'lunes': ['8:30–23:00'], 'martes': ['8:30–23:00'], 'miércoles': ['8:30–23:00'], 'jueves': ['8:30–23:00']}",944 75 11 29,"['Este es el restaurante donde vamos a comer pero va a ser más adelante supongo que tanto la comida como la gastronomía, el servicio y el ambiente será muy bueno espero que sea muy…Más', 'Cucarachas por un tubo; en el comedor y el baño, bailando la conga.\nFilete ruso? Hamburguesas de Eroski de delante con un …Más', 'Excelente relación calidad precio. Ofrecen un menú del día variado con platos caseros. El servicio es eficiente y amable. El comedor está separado del bar, y…Más']","['Domingo: 09:00 - 12:00. Bar Otero 49. Blas de Otero 49Bilbao 48014. Ponte en contacto. BAR OTERO 49. Telefono: 944 75 11 29 / Watsapp: 636 43 40 36. Creado...', 'Bar Otero 49 Bilbao Spain. 201 पसंद. Menus hamburguesas bocadillos y cafés para llevar.', 'Bar Otero 49. Blas de Otero 49Bilbao 48014. Abierto. Lunes - Sábado: 09:00 - 23:00. Domingo: 09:00 - 22pm. +34 636 434 036 +34 94 47 51 129. barotero@gmx.']"
Goiri Eder Gastrobar,,225,"4,1",10-20€,Ideal para ver deportes,"Eraso Jeneralaren Kalea, 6, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['7:45–23:00'], 'sábado': ['8:45–24:00'], 'domingo': ['9:45–23:30'], 'lunes': ['Cerrado'], 'martes': ['7:45–23:00'], 'miércoles': ['7:45–23:00'], 'jueves': ['7:45–23:00']}",946 36 57 73,"['Sensacional. El trato es una delicia, tanto Iñaki como Maria Jose son dos personas encantadoras y super atentas que disfrutan haciendo su trabajo. En cuanto a…Más', 'Había mucha gente en el sitio y decidimos comer allí, a nuestra sorpresa el comedor estaba vacío, no había nadie comiendo aún así decidimos darle una…Más', 'Una comida echada a perder por el trato de la encargada del local. Un menú cerrado en el que no se han dado todos los productos acordados y se ha cobrado de…Más']","['GOIRI EDER Bilbao - Fotos Número de Teléfono y Restaurante Opiniones - Tripadvisor. Bilbao · Provincia de Vizcaya · País Vasco · España · Europa. Bilbao.', 'Disfruta de la mayor autenticidad gastronómica en un entorno contemporáneo y cálido. ¡Descubre Goiri Eder tu gastrobar en Bilbao!', 'Dos recomendaciones: el excelente menú del día con buena cocina casera bien cocinado y presentado. La otra es el chuleton con ensalada y patatas por 30€ para...']"
"Mesón ""La Tortilla""",,427,"4,2",1-10€,Tiene terraza,"Blas de Otero Kalea, 43, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['10:30–22:00'], 'sábado': ['10:30–22:00'], 'domingo': ['Cerrado'], 'lunes': ['10:30–22:00'], 'martes': ['10:30–22:00'], 'miércoles': ['10:30–22:00'], 'jueves': ['10:30–22:00']}",944 47 29 05,"['Bar restaurante de toda la vida donde degustar una gran variedad de pintxos y raciones incluido el popular Bilbainito hecho con huevo cocido con gamba y…Más', 'Meson con decoración clásica y buena atención.Variedad de pinchos y tortillas.Baños limpios y terraza exterior.', 'Una amiga me recomendou y la verdad me gustosa mucho, buena comida, buen trato, volveré sin duda.…Más']","['LA TORTILLA Bilbao - Fotos Número de Teléfono y Restaurante Opiniones - Tripadvisor. Bilbao · Provincia de Vizcaya · País Vasco · España · Europa. Bilbao.', 'Mesón La Tortilla Deusto. Información. Destacado: Campeón euskadi de ... Bilbao Akelarre hostel. Morgan 4-6 Bilbao. 0.23 Km. Imagen de Moon Hostel Bio · Moon...', 'La tortilla España aún no tiene suficientes puntuaciones de la comida el servicio la relación calidad/precio o la atmósfera. ¡Sé de los primeros en escribir...']"
Josebar,,436,"4,7",1-10€,No se aceptan reservas· Ideal para ver deportes· Se admiten perros,"Benidorm Kalea, 4, Deusto, 48015 Bilbo, Bizkaia","{'viernes': ['6:00–16:00'], 'sábado': ['7:30–16:00'], 'domingo': ['Cerrado'], 'lunes': ['6:00–16:00'], 'martes': ['6:00–16:00'], 'miércoles': ['6:00–16:00'], 'jueves': ['6:00–16:00']}",944 07 43 69,"['Siendo camarero como soy..es de los sitios mas acogedor he estado,desde el primer día que caí de casualidad,me ha tratado como si fuera mi casa,un servicio de…Más', 'Una pareja encantadora,un caldo excelente ,rabas,txopitos y torresnos\nriquísimos ya no digamos las gildas ,bokatas y pintxos ,…Más', '""El mudito"" una persona súper alegre. Te carga las pilas desde bien prontito. Su mujer un cielo. Un ambiente, muy cercano. La atención y los bocatas, tortillas y sándwiches, de 10. Y …Más']","['Con su agradable y amigable y loco tasquero juanba y el josebar es una bar para desayunar y comer ricos pintxos y pasar un rato agradable.', 'Alegría y buen humor detrás de la barra. Tu bar de referencia en Ibarrekolanda. Todos los que se pasan por Josebar Mudito Bar comentan lo mismo: te sientes...', 'Bar recomendablese encuentra cerca del metro de sarriko. Su camarero es dicharachero y muy jovial siempre tiene buen rollo']"
Bar restaurante Amaiera,,102,"4,6",10-20€,Tiene terraza· Tiene Wi-Fi· Hay menú infantil,"Aita Patxi Plaza, 8, Deusto, 48015 Bilbo, Bizkaia",{},946 61 10 20,"['Hola:\nVivimos en Plaza Celestino y un día dando una vuelta vimos el bar Amaiera y nos…Más', 'Sitio tranquilo, comida, pinchos todo muy bueno, trato con la gente excelente y te dejan ir con tu perro, tienen agua para ellos y chuches un detalle…Más', 'Excelente! Comida sana, que sienta bien. Excelente atención y hay cuentos para que los más pequeños se entretengan.…Más']","['Page · Bar. \U000f16ea. +34 946 61 10 20. Amaiera. Aug 14 2023\U000f078b\U000f17e0. \U000f07dd. Estimados clientes: Les informamos que permaneceremos cerrados por vacaciones...', '5 jun 2022 — 254 likes 8 comments - tragaldabis on June 5 2022: "". . Amaiera @amaiera2.0 . . Plaza Aita Patxi 8 48015 Bilbao Bizkaia .', 'Consigue las mejores ofertas para Amaiera en Bilbao y conoce la nota y posición en el ranking de GastroRanking. ... bar Amaiera y nos quedamos a comer . Éramos...']"
"Bar ""La Parra""",,152,"4,7",€,Tiene terraza· Sirve buenos cócteles· Tiene happy hour,"Ramón y Cajal Etorb., 32A, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['9:00–3:00'], 'sábado': ['9:00–3:00'], 'domingo': ['Cerrado'], 'lunes': ['9:00–15:00'], 'martes': ['9:00–23:30'], 'miércoles': ['9:00–23:30'], 'jueves': ['9:00–23:30']}",944 75 12 06,"['Descubrimos este magnífico lugar por casualidad y que sorpresa!! Pintxos excelentes, sobretodo los de tortilla, ambiente 10 por parte del propietario y de la…Más', 'La mejor tortilla de todo Bilbao, os lo aseguro, una ración grande y a buen precio. Es un bar pequeñito, pero merece la pena pasarse por él, el dueño es una…Más', 'La tortilla es un espectáculo. He estado en sitios ""top"" que presumían de tortilla y esta no tiene absolutamente nada que envidiar a sitios muchísimo más caros.…Más']","['Bar La Parra. Bares-Cafeterías · Cómo llegar. Dirección. Avda. Ramón Y Cajal ... Descubre con nuestras rutas guiadas a través del comercio un Bilbao que no...', '20 feb 2024 — Bar ""La Parra"" n.º 62 entre los pubs y bares de Bilbao: ❤️ 153 opiniones y 15 fotos detalladas. Localízalo en el mapa y llama para...', 'La Parra. Abierto. La Parra Bilbao. Bares en Bilbao. Danos tu opinión. Cómo ir Contactar Llamar. 944751701. Calle Arturo Campion 25 48015 Bilbao BIZKAIA.']"
Génova Jatetxea Restaurante Cafetería,,200,"4,3",10-20€,Tiene terraza· Tiene Wi-Fi· Hay menú infantil,"Blas de Otero Kalea, 9, Deusto, 48014 Bilbo, Bizkaia",{},,"['Un sitio muy recomendable, el trato fue fantástico y la comida de diez.…Más', 'Un personal muy agradable y familiar,', 'Pues estuvimos ayer noche y nos tomamos un revuelto de setas y unas papas, unas cañas y unas croquetas, todo de lujo, los chavales atentos hasta para que no nos…Más']",[]
Cervecería Gabiña,Bocadillos y raciones en luminosa cervecería de barrio fundada en 1980 con muebles claros y ventanales.,872,"4,3",10-20€,,"C. Jon Arrospide Kalea, 28, Deusto, 48014 Bilbao, Biscay",{},696 11 64 02,"['Platos contundentes y precio del menú del día y platos muy competitivos!…Más', 'La Cervecera Gabiña es una apuesta segura para disfrutar de un buen pollo asado y sus acompañantes en pleno Bilbao. Esta vez pedimos: 🔸Pollo asado [10,50€]. ……Más', 'Buen sitio para comer algo rápido a buen precio.']","['Cerveceria Gabiña · Calle Jon Arrospide 28 48014 Bilbao España · Página web · Mejora este perfil.', 'Cervecería Gabiña Bilbao. 15 likes · 3 talking about this. Desayunos menú del día asador de pollos cervecería.', 'Pollo y cerveza en plena ciudad. Un local para disfrutar entre amigos. La Cervecería Gabiña podría recomendarse solo por sus singulares patatas...']"
Hamburguesería Itxas Bide,,12000,"4,5",10-20€,Tiene terraza· Se sirven platos vegetarianos· Tiene música en directo,"Rafaela Ybarra Kalea, 11, Deusto, 48014 Bilbo, Bizkaia",{},946 04 11 41,"['Ricas hamburguesas. La carne se nota de calidad y con buen sabor.\nProbamos varias hamburguesas, para mí la november la…Más', 'Un lugar interesante para degustar hamburguesas con pan tipo brioche, con una propuesta variada. Hemos compartido dos hamburguesas (la Natxo y la americana) y ……Más', 'Local acogedor bastante espacioso. En la planta de calle cuenta con cafetería, barra de pintxos, y unas pocas mesas, además de una pequeña terraza en el…Más']","['Itxas Bide Bilbao hamburguesería con las mejores hamburguesas de Deusto. Carne de vaca vieja madurada ingredientes de aquí y buena música.', 'Disponible de martes a viernes de 13:00 a 15:45. Oferta válida también para recoger en el local. +1 € si pides tu menú con La Natxo o La Pig Floyd.', 'Reserve at Itxas Bide. Rafaela Ybarra Kalea 11. Bilbo. Adults. - +. Children. Up to 5 years. - +. Date. Today 1 Feb; Fri 2 Feb; Sat 3 Feb; Sun 4 Feb']"
Kalma Poké Bar,,225,"4,8",10-20€,Tiene terraza· Se sirven platos veganos,"Madariaga Etorbidea, 1, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['10:00–16:00', '19:00–23:00'], 'sábado': ['11:00–16:00', '19:00–23:00'], 'domingo': ['11:00–16:00', '18:30–22:30'], 'lunes': ['10:00–16:00'], 'martes': ['10:00–16:00', '18:30–22:30'], 'miércoles': ['10:00–16:00', '18:30–22:30'], 'jueves': ['10:00–16:00', '18:30–22:30']}",661 30 44 64,"['Pokes riquísimos y personal atento y muy simpático. Para mi el mejor poke sin duda, buenos ingredientes y bastantes opciones a buen precio, recomendable 100%.…Más', 'Pedimos dos pokes grandes para comer en el local un sábado bien pasadas las 15h. Buenas raciones, comida muy rica, personal super amable y el puntazo fue que tuvieran ""mucha kombu…Más', 'Ingredientes de calidad. Me gusta especialmente que el atún rojo lo aliñan al momento aparte, y lo añaden al resto.…Más']","['Kalma Poke bar se caracteriza por la comida fresca y de calidad apostando por productos de km0 en el centro de Bilbao.', ""Poké Bowls & Speciality Coffee ☕️ Pedidos por whatsapp 661 304 464 Deusto - Bilbao. www.kalmapokebar.com. LUNCH's profile picture."", 'Contacto de Kalma Poké bar está en ubicado en Bilbao concretamente en el barrio de Deusto muy cerca del Centro Comercial Zubiarte.']"
Cafeteria Presley 2,,114,"3,9",€€,,"Julio Urquijo Kalea, 12, Deusto, 48014 Bilbo, Bizkaia",{},946 52 25 66,"['Amplio bar, cómodo y agradable, estilo vintage. Trato amable…Más', 'Local antiguo, pero limpio. Es amplio tanto el bar, como el restaurante, tiene alguna mesa en el exterior.…Más', 'Hemos estado hoy tomando un marianito y hemos pedido una ración de pulpo, después de diez minutos esperado la ración nos hemos tenido que acercar a la barra…Más']","['Cafetería Presley 2 · Página · Tienda de café · +34 944 75 37 10.', 'Productos de calidad y artesanos elaborados diariamente. Todos nuestros panes son elaborados con masa madre. Panadería y Cafetería con experiencia desde 1999.', '10 ene 2024 — Disfruta los singulares pintxos el bien trabajado laing o las atrayentes tortillas que te ofrece este restaurante.']"
